FLIGHT_ID,CALLSIGN,OPERATOR,ICAO_ACTYPE,ADEP,DEST,TAS,RFL,TYPE_OF_TRANSPONDER,Date_Added,RUNWAY,GATE,STACK
21520009,KLM98Q,KLM,B737,EFHK,EHAM,462,400.0,L,2023-11-27,36R,C13,ARTIP
21520010,TRA85P,TRA,B737,LGIR,EHRD,445,380.0,L,2023-11-27,24,B3,
21520014,WZZ6RW,WZZ,A321,EHEH,EPGD,393,230.0,L,2023-11-27,,,
21520016,KLM16L,KLM,B738,LEBL,EHAM,449,360.0,L,2023-11-27,36C,C15,RIVER
21520021,KLM1713,KLM,E190,EHAM,LPPR,444,350.0,H,2023-11-27,,,
21520023,AEE626,AEE,A321,LGAV,EHAM,460,340.0,S,2023-11-27,36R,B15,ARTIP
21520024,ECA31C,ECA,C25B,EHBK,LFMD,409,390.0,E,2023-11-27,,,
21520025,KLM1808,KLM,E190,EDDC,EHAM,444,400.0,H,2023-11-27,36R,B24,ARTIP
21520026,SWR729,SWR,BCS1,EHAM,LSZH,440,410.0,L,2023-11-27,,,
21520028,KLM62A,KLM,E75L,EDDS,EHAM,433,380.0,L,2023-11-27,36R,A51,ARTIP
21520030,KLM1679,KLM,E190,EHAM,LEPA,438,350.0,H,2023-11-27,,,
21520031,KLM26D,KLM,B738,LFMT,EHAM,390,190.0,L,2023-11-27,36C,C12,RIVER
21520032,KLM30Q,KLM,E190,ESGG,EHAM,452,400.0,H,2023-11-27,36R,B28,ARTIP
21520033,TRA35X,TRA,B738,LGRP,EHEH,450,360.0,L,2023-11-27,21,S4,
21520034,EZY24PA,EZY,A20N,EHAM,EGCC,385,320.0,L,2023-11-27,,,
21520035,TRA709W,TRA,B738,EHEH,LGAV,377,230.0,L,2023-11-27,,,
21520036,JBC789B,JBC,BE40,EHBK,EDDB,426,330.0,S,2023-11-27,,,
21520043,WZZ120,WZZ,A320,EHEH,LBWN,378,230.0,L,2023-11-27,,,
21520044,RYR5891,RYR,B738,EHEH,EPKK,361,230.0,S,2023-11-27,,,
21520046,VLG74BE,VLG,A320,EHAM,LEBB,447,350.0,L,2023-11-27,,,
21520047,KLM32Z,KLM,E75L,LFLL,EHAM,412,380.0,L,2023-11-27,36C,A45,RIVER
